Date, Time, Lat, Long, Alt(GPS), Temp, Hum[%], Alt(BME), Pressure[hPa][mb], NO2[ug/m^3][ppb], CO[mg/m^3][ppm], NH3[mg/m^3], PM1.0, PM2.5, PM10.0 

7/7/19,17:57:50,40.4103952,-3.6937360,0,26.58,32.00,618.90,941.09,34.99,2.97,0,0,0,2
7/7/19,17:57:51,40.4103967,-3.6937348,0,26.56,31.99,619.28,941.05,34.99,3.04,0,2,2,4
7/7/19,17:57:52,40.4103978,-3.6937345,0,26.56,31.99,619.38,941.03,35.14,3.01,0,2,2,4
7/7/19,17:57:53,40.4103990,-3.6937350,0,26.56,32.01,618.80,941.10,34.99,3.01,0,2,2,4
7/7/19,17:57:54,40.4103972,-3.6937340,0,26.54,32.01,618.94,941.08,35.14,2.97,0,2,2,4
7/7/19,17:57:55,40.4103980,-3.6937347,0,26.53,32.04,619.09,941.07,34.99,3.01,0,1,1,4
7/7/19,17:57:56,40.4104008,-3.6937340,0,26.54,32.04,619.18,941.06,34.99,3.01,0,1,1,4
7/7/19,17:57:57,40.4104035,-3.6937345,0,26.53,32.04,619.21,941.05,34.99,3.04,0,1,1,3
7/7/19,17:57:58,40.4104058,-3.6937353,0,26.52,32.07,619.62,941.01,34.99,3.04,0,1,1,3
7/7/19,17:57:59,40.4104085,-3.6937372,0,26.50,32.05,619.06,941.07,34.99,3.04,0,1,1,1
7/7/19,17:58:00,40.4104135,-3.6937393,0,26.49,32.05,619.47,941.02,35.14,3.04,0,1,1,1
7/7/19,17:58:01,40.4104190,-3.6937498,0,26.47,32.04,619.20,941.05,34.99,3.01,0,1,1,1
7/7/19,17:58:02,40.4104165,-3.6937522,0,26.47,32.06,619.51,941.02,34.99,3.01,0,2,2,2
7/7/19,17:58:03,40.4104160,-3.6937537,0,26.48,32.10,619.37,941.04,35.14,2.97,0,2,2,2
7/7/19,17:58:04,40.4104160,-3.6937545,0,26.48,32.13,618.93,941.09,34.99,2.97,0,2,2,2
7/7/19,17:58:05,40.4104157,-3.6937590,0,26.46,32.16,619.02,941.08,35.14,3.04,0,2,2,2
7/7/19,17:58:06,40.4104182,-3.6937540,0,26.45,32.13,619.19,941.06,34.99,3.08,0,1,1,1
7/7/19,17:58:07,40.4104177,-3.6937580,0,26.46,33.80,618.89,941.09,34.99,3.01,0,0,1,1
7/7/19,17:58:08,40.4104163,-3.6937640,0,26.51,35.53,619.25,941.05,35.14,3.01,0,0,1,1
7/7/19,17:58:09,40.4104157,-3.6937635,0,26.48,34.23,619.01,941.08,35.14,3.01,0,2,2,2
7/7/19,17:58:10,40.4104132,-3.6937635,0,26.48,33.33,619.18,941.06,34.99,3.08,0,2,2,2
7/7/19,17:58:11,40.4104135,-3.6937665,0,26.48,32.90,618.86,941.09,34.84,3.01,0,2,2,2
7/7/19,17:58:12,40.4104140,-3.6937765,0,26.45,32.63,619.30,941.04,34.99,3.01,0,2,2,2
7/7/19,17:58:13,40.4104143,-3.6937827,0,26.43,32.46,619.12,941.06,34.99,3.01,0,2,3,3
7/7/19,17:58:14,40.4104158,-3.6937918,0,26.45,32.36,619.30,941.04,34.99,3.04,0,2,3,3
7/7/19,17:58:15,40.4104125,-3.6937932,0,26.45,32.30,619.39,941.03,34.84,3.08,0,2,3,3
7/7/19,17:58:16,40.4104155,-3.6937938,0,26.44,32.24,619.08,941.07,34.84,2.97,0,1,2,2
7/7/19,17:58:17,40.4104150,-3.6937943,0,26.42,32.21,618.77,941.10,34.99,3.01,0,1,2,2
7/7/19,17:58:18,40.4104225,-3.6937972,0,26.41,32.21,619.26,941.05,35.14,3.01,0,1,2,2
7/7/19,17:58:19,40.4104223,-3.6937918,0,26.39,32.22,619.53,941.02,35.28,2.94,0,0,1,1
7/7/19,17:58:20,40.4104240,-3.6937897,0,26.41,32.21,619.14,941.06,35.28,2.94,0,0,1,1
7/7/19,17:58:21,40.4104233,-3.6937913,0,26.38,32.19,619.13,941.06,35.43,2.97,0,0,1,1
7/7/19,17:58:22,40.4104225,-3.6937965,0,26.39,32.19,619.53,941.02,35.28,2.94,0,0,1,1
7/7/19,17:58:23,40.4104217,-3.6938007,0,26.40,32.20,619.04,941.07,35.28,2.97,0,0,0,0
7/7/19,17:58:24,40.4104235,-3.6938020,0,26.39,32.19,619.31,941.04,35.43,2.94,0,0,0,0
7/7/19,17:58:25,40.4104288,-3.6938002,0,26.41,32.26,619.02,941.07,35.43,2.94,0,0,0,0
7/7/19,17:58:26,40.4104272,-3.6937955,0,26.39,32.20,618.90,941.09,35.43,2.87,0,0,0,0
7/7/19,17:58:27,40.4104292,-3.6937930,0,26.38,32.18,618.89,941.09,35.43,2.97,0,0,0,0
7/7/19,17:58:28,40.4104308,-3.6937897,0,26.36,32.20,619.28,941.05,35.58,2.90,0,0,0,0
7/7/19,17:58:29,40.4104312,-3.6937858,0,26.39,32.22,618.90,941.09,35.43,2.97,0,0,0,0
7/7/19,17:58:30,40.4104320,-3.6937850,0,26.39,32.28,618.82,941.10,35.58,3.01,0,0,0,0
7/7/19,17:58:31,40.4104348,-3.6937810,0,26.39,32.45,618.92,941.09,35.43,3.01,0,0,0,0
7/7/19,17:58:32,40.4104367,-3.6937748,0,26.37,32.38,618.79,941.10,35.43,2.94,0,0,0,0
7/7/19,17:58:33,40.4104417,-3.6937707,0,26.39,32.36,618.75,941.11,35.43,2.97,0,1,1,1
7/7/19,17:58:34,40.4104433,-3.6937692,0,26.40,32.28,618.80,941.10,35.43,3.01,0,1,1,1
7/7/19,17:58:35,40.4104435,-3.6937695,0,26.36,32.23,618.96,941.08,35.58,2.94,0,1,1,1
7/7/19,17:58:36,40.4104433,-3.6937670,0,26.36,32.21,619.13,941.06,35.58,2.97,0,1,1,1
7/7/19,17:58:37,40.4104453,-3.6937660,0,26.37,32.19,619.18,941.06,35.58,2.94,0,1,1,1
7/7/19,17:58:38,40.4104475,-3.6937635,0,26.38,32.18,618.97,941.08,35.58,3.01,0,1,1,1
7/7/19,17:58:39,40.4104518,-3.6937632,0,26.38,32.17,619.67,941.08,35.43,2.97,0,1,1,1
7/7/19,17:58:40,40.4104508,-3.6937655,0,26.38,32.16,619.20,941.06,35.43,3.01,0,1,1,1
7/7/19,17:58:41,40.4104492,-3.6937633,0,26.34,32.17,618.72,941.11,35.58,2.97,0,1,1,1
7/7/19,17:58:42,40.4104465,-3.6937625,0,26.34,32.19,618.68,941.11,35.43,3.01,0,1,1,1
7/7/19,17:58:43,40.4104447,-3.6937553,0,26.33,32.21,618.53,941.13,35.58,2.97,0,1,1,1
7/7/19,17:58:44,40.4104510,-3.6937462,0,26.31,32.21,618.98,941.08,35.58,2.94,0,1,1,1
7/7/19,17:58:45,40.4104497,-3.6937362,0,26.31,32.23,619.18,941.06,35.43,2.97,0,0,0,0
7/7/19,17:58:46,40.4104503,-3.6937363,0,26.33,32.24,619.10,941.07,35.43,3.01,0,0,0,0
7/7/19,17:58:47,40.4104528,-3.6937348,0,26.32,32.24,618.79,941.09,35.43,3.01,0,0,0,0
7/7/19,17:58:48,40.4104457,-3.6937325,0,26.31,32.25,618.93,941.09,35.43,3.01,0,0,0,0
7/7/19,17:58:49,40.4104377,-3.6937333,0,26.30,32.24,619.35,941.04,35.43,3.01,0,1,1,1
7/7/19,17:58:50,40.4104315,-3.6937405,0,26.27,32.24,618.89,941.09,35.43,2.94,0,1,1,1
7/7/19,17:58:51,40.4104228,-3.6937423,0,26.27,32.25,619.12,941.06,35.58,3.01,0,0,0,0
7/7/19,17:58:52,40.4104113,-3.6937398,0,26.26,32.26,619.02,941.09,35.58,2.97,0,0,0,0
7/7/19,17:58:53,40.4104100,-3.6937367,0,26.25,32.28,618.85,941.09,35.58,2.97,0,0,0,0
7/7/19,17:58:54,40.4104078,-3.6937347,0,26.24,32.28,618.87,941.09,35.58,2.94,0,0,0,0
7/7/19,17:58:55,40.4104053,-3.6937340,0,26.23,32.28,618.68,941.11,35.73,2.97,0,0,0,0
7/7/19,17:58:56,40.4104058,-3.6937310,0,26.22,32.29,619.09,941.07,35.73,2.94,0,0,0,0
7/7/19,17:58:57,40.4104035,-3.6937285,0,26.21,32.31,618.80,941.10,35.73,2.97,0,0,0,0
7/7/19,17:58:58,40.4104010,-3.6937287,0,26.21,32.31,619.19,941.06,35.73,2.97,0,0,0,0
7/7/19,17:58:59,40.4104008,-3.6937275,0,26.20,32.32,618.90,941.09,35.58,2.97,0,0,0,0
7/7/19,17:59:00,40.4104007,-3.6937265,0,26.21,32.32,619.03,941.07,35.73,2.94,0,1,1,1
7/7/19,17:59:01,40.4104018,-3.6937233,0,26.19,32.33,619.19,941.06,35.88,3.01,0,1,1,1
7/7/19,17:59:02,40.4104017,-3.6937248,0,26.21,32.35,619.31,941.04,35.73,2.94,0,1,1,1
7/7/19,17:59:03,40.4104020,-3.6937243,0,26.22,32.35,619.22,941.05,35.58,2.97,0,0,0,0
7/7/19,17:59:04,40.4103983,-3.6937193,0,26.22,32.33,619.33,941.04,35.73,2.97,0,0,0,0
7/7/19,17:59:05,40.4103943,-3.6937200,0,26.20,32.34,618.94,941.08,35.58,3.01,0,0,0,0
7/7/19,17:59:06,40.4103933,-3.6937260,0,26.20,32.33,618.99,941.08,35.58,2.97,0,0,0,0
7/7/19,17:59:07,40.4103935,-3.6937302,0,26.21,32.33,619.00,941.08,35.58,2.97,0,0,0,0
7/7/19,17:59:08,40.4103935,-3.6937357,0,26.21,32.33,618.95,941.08,35.58,2.97,0,0,0,0
7/7/19,17:59:09,40.4103925,-3.6937395,0,26.20,32.34,618.97,941.08,35.73,2.97,0,0,0,0
7/7/19,17:59:10,40.4103920,-3.6937450,0,26.17,32.37,619.04,941.07,35.73,2.94,0,0,1,1
7/7/19,17:59:11,40.4103910,-3.6937452,0,26.20,32.37,618.70,941.11,35.73,3.01,0,0,1,1
7/7/19,17:59:12,40.4103915,-3.6937620,0,26.21,32.37,618.88,941.09,35.43,3.08,0,0,1,1
7/7/19,17:59:13,40.4103908,-3.6937700,0,26.22,32.36,619.17,941.06,35.58,3.01,0,0,1,1
7/7/19,17:59:14,40.4103922,-3.6937752,0,26.20,32.36,619.14,941.06,35.43,3.04,0,0,1,1
7/7/19,17:59:15,40.4103928,-3.6937820,0,26.21,32.36,618.92,941.09,35.58,3.01,0,0,1,1
7/7/19,17:59:16,40.4103962,-3.6937927,0,26.19,32.37,619.01,941.08,35.58,3.01,0,0,0,0
7/7/19,17:59:17,40.4104008,-3.6937977,0,26.18,32.37,619.24,941.05,35.58,2.97,0,1,1,1
7/7/19,17:59:18,40.4103978,-3.6937952,0,26.18,32.37,618.89,941.09,35.58,3.01,0,0,0,0
7/7/19,17:59:19,40.4103995,-3.6937960,0,26.18,32.39,618.85,941.09,35.58,3.04,0,0,0,0
7/7/19,17:59:20,40.4103985,-3.6937993,0,26.17,32.40,619.04,941.07,35.58,3.04,0,0,0,0
7/7/19,17:59:21,40.4103975,-3.6938018,0,26.17,32.40,618.68,941.11,35.58,2.97,0,1,1,1
7/7/19,17:59:22,40.4103975,-3.6938020,0,26.16,32.40,618.38,941.15,35.58,3.01,0,1,1,1
7/7/19,17:59:23,40.4103960,-3.6938015,0,26.16,32.41,618.82,941.10,35.58,3.04,0,1,1,1
7/7/19,17:59:24,40.4103933,-3.6938057,0,26.16,32.44,618.56,941.13,35.58,3.04,0,0,0,0
7/7/19,17:59:25,40.4103997,-3.6938117,0,26.16,32.48,619.06,941.07,35.58,3.04,0,1,1,1
7/7/19,17:59:26,40.4104007,-3.6938082,0,26.15,32.44,618.96,941.08,35.43,3.01,0,1,1,1
7/7/19,17:59:27,40.4104017,-3.6938070,0,26.14,32.43,619.08,941.07,35.58,3.01,0,1,1,1
7/7/19,17:59:28,40.4104053,-3.6938053,0,26.12,32.44,618.80,941.10,35.58,2.97,0,1,1,1
7/7/19,17:59:29,40.4104183,-3.6937952,0,26.11,32.46,618.91,941.09,35.73,2.97,0,1,1,1
7/7/19,17:59:30,40.4104113,-3.6937933,0,26.12,32.45,619.13,941.06,35.58,2.97,0,2,2,2
7/7/19,17:59:31,40.4104053,-3.6937912,0,26.12,32.48,618.52,941.13,35.58,2.97,0,2,2,2
7/7/19,17:59:32,40.4104002,-3.6937775,0,26.12,32.48,619.12,941.06,35.58,3.01,0,2,2,2
7/7/19,17:59:33,40.4104037,-3.6937717,0,26.11,32.48,619.10,941.07,35.58,2.97,0,0,0,0
7/7/19,17:59:34,40.4103950,-3.6937653,0,26.12,32.48,618.84,941.10,35.58,3.04,0,0,0,0
7/7/19,17:59:35,40.4103650,-3.6937813,0,26.11,32.47,618.74,941.11,35.58,3.04,0,0,0,0
7/7/19,17:59:36,40.4103573,-3.6937860,0,26.11,32.48,618.82,941.10,35.58,3.01,0,1,1,1
7/7/19,17:59:37,40.4103650,-3.6937823,0,26.10,32.48,618.93,941.09,35.58,2.97,0,1,1,1
7/7/19,17:59:38,40.4103632,-3.6937777,0,26.10,32.52,618.77,941.10,35.58,2.97,0,1,1,1
7/7/19,17:59:39,40.4103592,-3.6937877,0,26.09,32.52,619.05,941.07,35.58,3.08,0,1,1,1
7/7/19,17:59:40,40.4103665,-3.6937905,0,26.06,32.54,618.56,941.13,35.73,2.97,0,1,1,1
7/7/19,17:59:41,40.4103592,-3.6938005,0,26.06,32.56,618.52,941.13,35.73,2.97,0,0,0,0
7/7/19,17:59:42,40.4103630,-3.6938177,0,26.06,32.58,618.85,941.09,35.58,3.01,0,0,0,0
7/7/19,17:59:43,40.4103628,-3.6938197,0,26.07,32.58,618.33,941.15,35.73,2.97,0,0,0,0
7/7/19,17:59:44,40.4103633,-3.6938118,0,26.06,32.59,619.07,941.07,35.58,3.01,0,0,0,0
7/7/19,17:59:45,40.4103625,-3.6938023,0,26.06,32.59,618.40,941.15,35.58,3.01,0,1,1,1
7/7/19,17:59:46,40.4103665,-3.6937975,0,26.06,32.60,619.00,941.08,35.58,3.01,0,2,2,2
7/7/19,17:59:47,40.4103697,-3.6937932,0,26.06,32.63,618.49,941.14,35.73,3.01,0,2,2,2
7/7/19,17:59:48,40.4103750,-3.6937883,0,26.05,32.68,618.50,941.13,35.58,3.01,0,2,2,2
7/7/19,17:59:49,40.4103797,-3.6937870,0,26.06,32.68,619.07,941.07,35.73,2.97,0,2,2,2
7/7/19,17:59:50,40.4103822,-3.6937833,0,26.05,32.67,618.98,941.08,35.58,3.01,0,2,2,2
7/7/19,17:59:51,40.4103857,-3.6937783,0,26.05,32.67,618.57,941.13,35.73,2.97,0,1,1,1
7/7/19,17:59:52,40.4103873,-3.6937730,0,26.05,32.66,618.93,941.09,35.88,2.97,0,1,1,1
7/7/19,17:59:53,40.4103903,-3.6937675,0,26.04,32.65,619.00,941.08,35.73,2.94,0,1,1,1
7/7/19,17:59:54,40.4103937,-3.6937633,0,26.06,32.64,619.07,941.07,35.73,2.97,0,2,2,2
7/7/19,17:59:55,40.4103940,-3.6937602,0,26.08,32.62,618.67,941.11,35.58,3.01,0,2,2,2
7/7/19,17:59:56,40.4103907,-3.6937557,0,26.11,32.62,618.89,941.09,35.58,3.08,0,2,2,2
7/7/19,17:59:57,40.4103862,-3.6937553,0,26.12,33.39,618.89,941.09,35.28,3.04,0,2,2,2
7/7/19,17:59:58,40.4103922,-3.6937595,0,26.12,33.15,618.41,941.14,35.28,3.01,0,2,2,2
7/7/19,17:59:59,40.4103933,-3.6937547,0,26.16,33.44,618.70,941.11,35.43,3.01,0,2,2,2
7/7/19,18:00:00,40.4103923,-3.6937535,0,26.19,33.15,618.92,941.09,35.28,3.04,0,1,1,1
7/7/19,18:00:01,40.4103907,-3.6937498,0,26.23,33.23,618.92,941.09,35.43,3.01,0,1,1,1
7/7/19,18:00:02,40.4103977,-3.6937530,0,26.24,33.30,618.83,941.10,35.14,3.15,0,0,0,0
7/7/19,18:00:03,40.4103945,-3.6937553,0,26.27,33.25,618.89,941.09,35.14,3.12,0,1,1,1
7/7/19,18:00:04,40.4103875,-3.6937648,0,26.28,33.30,618.76,941.10,34.99,3.15,0,1,1,1
7/7/19,18:00:05,40.4103825,-3.6937735,0,26.30,33.19,619.06,941.07,34.99,3.08,0,0,0,0
7/7/19,18:00:06,40.4103815,-3.6937715,0,26.31,33.25,619.01,941.08,34.84,3.08,0,0,0,0
7/7/19,18:00:07,40.4103777,-3.6937728,0,26.31,32.99,619.18,941.06,34.99,3.08,0,0,0,0
7/7/19,18:00:08,40.4103713,-3.6937735,0,26.33,32.90,619.18,941.06,34.99,3.08,0,0,0,0
7/7/19,18:00:09,40.4103537,-3.6937818,0,26.35,33.13,619.25,941.05,34.84,3.12,0,0,0,0
7/7/19,18:00:10,40.4103432,-3.6937765,0,26.37,33.08,618.61,941.12,34.84,3.15,0,0,0,0
7/7/19,18:00:11,40.4103415,-3.6937747,0,26.38,32.87,619.09,941.07,34.99,3.04,0,0,0,0
7/7/19,18:00:12,40.4103423,-3.6937755,0,26.39,32.71,619.02,941.07,34.99,3.04,0,0,0,0
7/7/19,18:00:13,40.4103412,-3.6937775,0,26.40,32.64,618.88,941.06,34.84,3.15,0,0,0,0
7/7/19,18:00:14,40.4103362,-3.6937812,0,26.40,32.54,618.97,941.08,34.84,3.08,0,0,0,0
7/7/19,18:00:15,40.4103297,-3.6937812,0,26.42,32.57,618.49,941.13,34.84,3.12,0,0,0,0
7/7/19,18:00:16,40.4103208,-3.6937842,0,26.43,32.59,618.43,941.14,34.84,3.12,0,0,0,0
7/7/19,18:00:17,40.4103158,-3.6937855,0,26.43,32.65,618.88,941.09,34.84,3.12,0,0,0,0
7/7/19,18:00:18,40.4103122,-3.6937915,0,26.44,32.53,618.81,941.10,34.84,3.15,0,0,1,1
7/7/19,18:00:19,40.4103093,-3.6937942,0,26.45,32.65,618.67,941.11,34.84,3.30,0,0,1,1
7/7/19,18:00:20,40.4103052,-3.6938008,0,26.47,33.04,618.88,941.09,34.55,3.22,0,0,1,1
7/7/19,18:00:21,40.4103027,-3.6938060,0,26.48,32.97,618.65,941.12,34.69,3.26,0,1,1,1
7/7/19,18:00:22,40.4103020,-3.6938093,0,26.49,32.80,618.67,941.11,34.69,3.22,0,1,1,1
7/7/19,18:00:23,40.4103002,-3.6938120,0,26.50,33.06,618.89,941.09,34.55,3.42,0,1,1,1
7/7/19,18:00:24,40.4102940,-3.6938173,0,26.50,33.04,618.86,941.14,34.40,3.22,0,1,1,1
7/7/19,18:00:25,40.4102948,-3.6938168,0,26.47,32.67,618.59,941.12,34.55,3.15,0,1,1,1
7/7/19,18:00:26,40.4103005,-3.6938155,0,26.46,32.50,618.45,941.14,34.69,3.08,0,1,1,1
7/7/19,18:00:27,40.4103000,-3.6938148,0,26.48,32.41,619.18,941.06,34.84,3.08,0,1,1,1
7/7/19,18:00:28,40.4103030,-3.6938140,0,26.50,32.31,618.86,941.09,34.84,3.12,0,1,1,1
7/7/19,18:00:29,40.4103052,-3.6938120,0,26.48,32.25,618.50,941.13,34.84,3.04,0,1,1,1
7/7/19,18:00:30,40.4103095,-3.6938085,0,26.49,32.32,619.23,941.05,34.84,3.04,0,1,2,2
7/7/19,18:00:31,40.4103112,-3.6938095,0,26.50,32.30,618.77,941.10,34.84,3.12,0,1,2,2
7/7/19,18:00:32,40.4103178,-3.6938080,0,26.46,32.27,618.89,941.09,34.84,3.08,0,1,1,1
7/7/19,18:00:33,40.4103227,-3.6938048,0,26.48,32.22,619.01,941.08,34.84,3.08,0,0,0,0
7/7/19,18:00:34,40.4103272,-3.6938012,0,26.50,32.21,618.89,941.09,34.84,3.12,0,0,0,0
7/7/19,18:00:35,40.4103308,-3.6938005,0,26.51,32.21,619.08,941.07,34.99,3.12,0,0,0,0
7/7/19,18:00:36,40.4103365,-3.6937985,0,26.52,32.25,619.30,941.04,34.84,3.08,0,0,0,0
7/7/19,18:00:37,40.4103392,-3.6937970,0,26.52,32.21,618.27,941.16,34.69,3.15,0,0,0,0
7/7/19,18:00:38,40.4103393,-3.6938022,0,26.54,32.17,618.99,941.08,34.84,3.08,0,0,0,0
7/7/19,18:00:39,40.4103407,-3.6938038,0,26.51,32.13,618.69,941.11,34.84,3.08,0,0,0,0
7/7/19,18:00:40,40.4103435,-3.6938002,0,26.49,32.12,618.93,941.09,34.99,3.08,0,0,0,0
7/7/19,18:00:41,40.4103497,-3.6937972,0,26.50,32.19,619.13,941.06,34.84,3.12,0,0,0,0
7/7/19,18:00:42,40.4103412,-3.6938092,0,26.51,32.31,618.41,941.14,34.84,3.15,0,0,0,0
7/7/19,18:00:43,40.4103433,-3.6938088,0,26.53,32.28,618.56,941.13,34.84,3.12,0,0,2,2
7/7/19,18:00:44,40.4103467,-3.6938060,0,26.52,32.20,618.55,941.13,34.84,3.08,0,0,2,4
7/7/19,18:00:45,40.4103532,-3.6938022,0,26.52,32.16,618.75,941.11,34.69,3.08,0,2,5,7
7/7/19,18:00:46,40.4103627,-3.6937932,0,26.54,32.28,618.91,941.09,34.69,3.22,0,2,5,7
7/7/19,18:00:47,40.4103653,-3.6937932,0,26.55,32.44,619.06,941.07,34.55,3.22,0,2,5,7
7/7/19,18:00:48,40.4103687,-3.6937858,0,26.56,32.45,618.80,941.10,34.40,3.19,0,2,5,7
7/7/19,18:00:49,40.4103715,-3.6937787,0,26.58,32.52,619.02,941.07,34.40,3.22,0,2,5,7
7/7/19,18:00:50,40.4103730,-3.6937728,0,26.60,32.56,618.63,941.12,34.40,3.15,0,1,4,6
7/7/19,18:00:51,40.4103735,-3.6937667,0,26.60,32.68,618.36,941.15,34.25,3.22,0,1,4,7
7/7/19,18:00:52,40.4103705,-3.6937760,0,26.62,33.06,618.64,941.12,34.11,3.19,0,1,3,6
7/7/19,18:00:53,40.4103705,-3.6937753,0,26.63,32.99,618.87,941.09,33.96,3.22,0,3,5,5
7/7/19,18:00:54,40.4103687,-3.6937797,0,26.66,33.27,618.60,941.12,33.81,3.19,0,2,3,3
7/7/19,18:00:55,40.4103613,-3.6937875,0,26.67,33.28,618.64,941.12,33.67,3.30,0,2,3,3
7/7/19,18:00:56,40.4103532,-3.6937950,0,26.68,33.56,618.54,941.13,33.52,3.30,0,2,3,3
7/7/19,18:00:57,40.4103490,-3.6937955,0,26.69,33.44,618.76,941.10,33.38,3.34,0,2,4,4
7/7/19,18:00:58,40.4103507,-3.6937937,0,26.69,33.02,618.40,941.15,33.38,3.26,0,2,4,4
7/7/19,18:00:59,40.4103560,-3.6937885,0,26.71,32.91,618.79,941.10,33.38,3.30,0,2,3,3
7/7/19,18:01:00,40.4103583,-3.6937853,0,26.72,32.81,619.13,941.06,33.38,3.26,0,2,3,3
7/7/19,18:01:01,40.4103557,-3.6937882,0,26.72,32.56,618.77,941.10,33.38,3.22,0,2,3,3
7/7/19,18:01:02,40.4103588,-3.6937873,0,26.74,32.35,618.85,941.09,33.52,3.22,0,2,3,3
7/7/19,18:01:03,40.4103593,-3.6937907,0,26.75,32.33,618.65,941.12,33.52,3.22,0,2,3,3
7/7/19,18:01:04,40.4103577,-3.6937935,0,26.77,32.45,618.49,941.13,33.38,3.22,0,2,3,3
7/7/19,18:01:05,40.4103517,-3.6937858,0,26.82,32.97,618.63,941.12,33.23,3.30,0,3,4,4
7/7/19,18:01:06,40.4103373,-3.6937880,0,26.84,33.44,618.64,941.12,33.09,3.26,0,2,3,3
7/7/19,18:01:07,40.4103395,-3.6937983,0,26.85,33.03,618.70,941.11,33.23,3.22,0,2,3,3
7/7/19,18:01:08,40.4103358,-3.6937973,0,26.84,32.57,618.80,941.10,33.38,3.26,0,2,3,3
7/7/19,18:01:09,40.4103392,-3.6937997,0,26.84,32.38,619.19,941.06,33.52,3.22,0,2,3,3
7/7/19,18:01:10,40.4103407,-3.6937988,0,26.83,32.16,619.02,941.08,33.52,3.19,0,2,3,3
7/7/19,18:01:11,40.4103417,-3.6938047,0,26.84,32.00,618.99,941.08,33.67,3.12,0,2,3,3
7/7/19,18:01:12,40.4103408,-3.6938138,0,26.86,31.93,619.28,941.05,33.52,3.19,0,2,2,2
7/7/19,18:01:13,40.4103420,-3.6938427,0,26.88,31.98,618.73,941.04,33.67,3.19,0,2,2,2
7/7/19,18:01:14,40.4103497,-3.6938532,0,26.89,31.89,618.90,941.09,33.67,3.19,0,1,1,1
7/7/19,18:01:15,40.4103490,-3.6938595,0,26.90,31.80,619.05,941.07,33.67,3.19,0,1,1,1
7/7/19,18:01:16,40.4103445,-3.6938433,0,26.90,31.86,619.38,941.03,33.67,3.26,0,1,1,1
7/7/19,18:01:17,40.4103465,-3.6938458,0,26.90,31.85,619.00,941.08,33.67,3.19,0,1,1,1
7/7/19,18:01:18,40.4103487,-3.6938455,0,26.86,31.73,618.83,941.10,33.81,3.12,0,1,1,1
7/7/19,18:01:19,40.4103470,-3.6938465,0,26.85,31.72,619.47,941.02,33.81,3.12,0,1,2,2
7/7/19,18:01:20,40.4103452,-3.6938462,0,26.87,31.89,618.81,941.10,33.81,3.15,0,1,3,3
7/7/19,18:01:21,40.4103548,-3.6938427,0,26.87,31.88,619.02,941.08,33.81,3.15,0,1,3,3
7/7/19,18:01:22,40.4103592,-3.6938485,0,26.86,31.78,618.61,941.12,33.81,3.15,0,1,3,3
7/7/19,18:01:23,40.4103577,-3.6938492,0,26.88,31.72,618.92,941.09,33.96,3.22,0,0,2,2
7/7/19,18:01:24,40.4103612,-3.6938475,0,26.87,31.68,618.71,941.12,33.81,3.26,0,0,2,2
7/7/19,18:01:25,40.4103528,-3.6938503,0,26.86,31.63,618.76,941.10,33.81,3.26,0,0,2,2
7/7/19,18:01:26,40.4103533,-3.6938485,0,26.86,31.64,618.92,941.09,33.67,3.26,0,0,1,1
7/7/19,18:01:27,40.4103547,-3.6938478,0,26.89,31.62,619.10,941.07,33.81,3.22,0,0,1,1
7/7/19,18:01:28,40.4103527,-3.6938488,0,26.90,31.64,618.45,941.14,33.81,3.22,0,0,1,1
7/7/19,18:01:29,40.4103550,-3.6938482,0,26.92,31.62,618.93,941.09,33.81,3.26,0,1,2,2
7/7/19,18:01:30,40.4103628,-3.6938427,0,26.94,31.59,619.22,941.05,33.81,3.19,0,1,2,2
7/7/19,18:01:31,40.4103687,-3.6938348,0,27.00,31.49,618.99,941.08,33.81,3.15,0,1,2,2
7/7/19,18:01:32,40.4103815,-3.6938238,0,27.01,31.46,618.96,941.08,33.81,3.15,0,1,2,2
7/7/19,18:01:33,40.4103962,-3.6938115,0,27.02,31.42,618.91,941.09,33.96,3.15,0,1,2,2
7/7/19,18:01:34,40.4104108,-3.6937972,0,27.05,31.36,618.82,941.10,34.11,3.12,0,1,2,2
7/7/19,18:01:35,40.4104162,-3.6937880,0,27.07,31.32,618.78,941.10,33.96,3.15,0,0,1,1
7/7/19,18:01:36,40.4104318,-3.6937802,0,27.09,31.28,618.90,941.09,33.96,3.15,0,0,0,0
7/7/19,18:01:37,40.4104450,-3.6937677,0,27.10,31.30,618.71,941.11,33.96,3.26,0,0,0,0
7/7/19,18:01:38,40.4104553,-3.6937650,0,27.09,31.35,618.38,941.15,33.96,3.22,0,0,0,0
7/7/19,18:01:39,40.4104630,-3.6937592,0,27.10,31.43,618.35,941.15,33.96,3.22,0,0,0,0
7/7/19,18:01:40,40.4104753,-3.6937523,0,27.12,31.38,618.49,941.14,33.81,3.22,0,0,1,1
7/7/19,18:01:41,40.4104812,-3.6937498,0,27.14,31.27,618.54,941.13,33.81,3.19,0,0,0,0
7/7/19,18:01:42,40.4104883,-3.6937485,0,27.15,31.21,618.79,941.10,33.81,3.12,0,0,0,0
7/7/19,18:01:43,40.4104888,-3.6937502,0,27.17,31.16,619.24,941.05,33.96,3.15,0,0,0,0
7/7/19,18:01:44,40.4104865,-3.6937493,0,27.18,31.16,619.10,941.07,33.96,3.19,0,0,1,1
